age,ed,employ,address,income,debtinc,creddebt,othdebt,default
41,3,17,12,176,9.3,11.359,5.009,1
27,1,10,6,31,17.3,1.362,4.001,0
40,1,15,14,55,5.5,0.856,2.169,0
41,1,15,14,120,2.9,2.659,0.821,0
24,2,2,0,28,17.3,1.787,3.057,1
41,2,5,5,25,10.2,0.393,2.157,0
39,1,20,9,67,30.6,3.834,16.668,0
43,1,12,11,38,3.6,0.129,1.239,0
24,1,3,4,19,24.4,1.358,3.278,1
36,1,0,13,25,19.7,2.778,2.147,0
27,1,0,1,16,1.7,0.183,0.089,0
25,1,4,0,23,5.2,0.252,0.944,0
52,1,24,14,64,10,3.93,2.47,0
37,1,6,9,29,16.3,1.716,3.011,0
48,1,22,15,100,9.1,3.704,5.396,0
36,2,9,6,49,8.6,0.818,3.396,1
36,2,13,6,41,16.4,2.918,3.806,1
43,1,23,19,72,7.6,1.182,4.29,0
39,1,6,9,61,5.7,0.563,2.914,0
41,3,0,21,26,1.7,0.099,0.343,0
39,1,22,3,52,3.2,1.155,0.509,0
47,1,17,21,43,5.6,0.588,1.82,0
28,1,3,6,26,10,0.432,2.168,0
29,1,8,6,27,9.8,0.402,2.244,0
21,2,1,2,16,18,0.242,2.638,1
25,4,0,2,32,17.6,2.14,3.492,0
45,2,9,26,69,6.7,0.707,3.916,0
43,1,25,21,64,16.7,0.951,9.737,0
33,2,12,8,58,18.4,3.084,7.588,0
26,3,2,1,37,14.2,0.205,5.049,0
45,1,3,15,20,2.1,0.105,0.315,0
30,1,1,10,22,10.5,1.139,1.171,0
27,3,2,7,26,6,0.722,0.838,0
25,1,8,4,27,14.4,1.019,2.869,0
25,1,8,1,35,2.9,0.077,0.938,0
26,2,6,7,45,26,6.049,5.651,0
30,2,10,4,22,16.1,1.41,2.132,0
32,2,12,1,54,14.4,3.196,4.58,0
28,2,1,8,24,17.1,1.338,2.766,1
45,1,23,5,50,4.2,0.559,1.541,0
23,1,7,2,31,6.6,0.338,1.708,0
34,1,17,3,59,8,1.808,2.912,0
42,2,7,23,41,4.6,0.941,0.945,0
39,1,19,5,48,13.1,1.93,4.358,0
26,1,0,0,14,7.5,0.302,0.748,1
21,2,0,1,16,6.8,0.15,0.938,0
35,1,13,15,35,4.5,0.432,1.143,0
47,1,4,2,26,10.4,0.122,2.582,0
23,2,0,2,21,11.4,0.776,1.618,1
35,1,18,2,42,7.4,0.205,2.903,0
34,1,2,11,25,12.6,0.573,2.577,1
46,1,1,12,20,14,0.809,1.991,0
46,1,16,18,52,12.9,3.032,3.676,1
38,3,3,18,25,3.7,0.312,0.613,0
40,2,3,2,28,9.5,0.553,2.107,0
37,1,1,3,24,15.1,1.801,1.823,1
35,1,9,1,34,5,0.398,1.302,0
39,2,16,13,69,2.4,1.061,0.595,0
40,3,18,6,100,2.5,1.485,1.015,0
50,3,10,20,80,12.2,2.479,7.281,0
31,1,9,10,28,2.4,0.048,0.624,0
29,1,13,1,42,7.4,1.458,1.65,1
37,1,4,0,23,12.4,0.87,1.982,0
33,2,4,9,55,7,2.16,1.69,0
26,2,5,7,28,7.8,1.024,1.16,0
32,2,11,6,75,23.3,7.759,9.716,1
28,2,2,3,23,6.4,0.187,1.285,1
39,1,19,8,46,9.1,2.516,1.67,0
28,2,8,3,31,8.2,1.492,1.05,1
29,1,1,2,20,18.6,0.569,3.151,1
34,2,3,8,21,23.1,1.402,3.449,0
28,2,5,9,34,23.8,3.099,4.993,0
47,1,26,21,100,12.8,4.582,8.218,0
43,4,1,5,26,10.6,1.519,1.237,0
41,1,13,10,44,1.7,0.071,0.677,0
47,1,13,25,51,23.8,3.739,8.399,0
24,1,2,1,21,0.6,0.025,0.101,0
29,1,1,9,17,6.7,0.157,0.982,0
33,1,14,2,37,2.6,0.199,0.763,0
36,1,15,10,39,3.2,0.686,0.562,0
26,1,4,3,27,10.5,2.472,0.363,1
31,1,11,12,45,17,2.739,4.911,0
37,1,7,3,32,19.6,2.697,3.575,0
35,4,4,16,29,11,1.844,1.346,0
26,1,4,3,20,5.4,0.319,0.761,0
40,1,10,15,45,18.8,2.013,6.447,0
29,2,5,4,36,12.4,3.491,0.973,1
37,3,5,17,29,24.6,1.405,5.729,0
32,1,12,12,28,2.9,0.116,0.696,0
23,2,0,1,17,27.7,2.044,2.665,1
32,1,3,10,23,6.2,0.053,1.373,0
25,1,1,6,15,11.4,0.371,1.339,1
38,1,5,5,54,10.6,1.5,4.224,0
32,2,0,6,18,5.8,0.296,0.748,1
41,3,2,0,15,26.3,1.961,1.984,1
36,1,17,6,54,4.4,0.727,1.649,0
42,3,13,0,82,3.3,1.315,1.391,0
41,1,14,8,52,7.3,0.926,2.87,0
29,2,4,9,19,6.3,0.681,0.516,0
38,3,4,6,31,9.3,1.332,1.551,1
39,1,22,9,113,2.6,0.987,1.951,0
36,1,6,9,26,8.3,0.03,2.128,0
33,1,8,7,27,5.8,0.777,0.789,0
42,2,21,11,121,3.1,1.365,2.386,0
41,2,22,17,75,23.6,9.877,7.823,0
40,1,8,17,28,3.6,0.534,0.474,0
53,1,9,18,50,11.2,2.016,3.584,1
28,1,4,7,26,13.5,1.295,2.215,0
36,2,12,13,60,7.9,1.721,3.019,0
34,2,9,13,45,10.1,1.118,3.427,0
45,3,2,5,39,4.9,0.459,1.452,0
38,1,6,0,41,8.9,0.266,3.383,0
21,3,0,2,24,7.7,0.833,1.015,0
42,1,12,11,51,21.4,2.412,8.502,0
52,1,16,25,64,8.6,1.866,3.638,0
25,2,4,6,33,5.2,0.553,1.163,0
34,2,9,9,65,6.2,2.108,1.922,0
40,2,15,16,73,3.4,1.033,1.449,0
31,2,0,4,27,12.8,1.089,2.367,1
25,1,1,0,20,6.7,0.472,0.868,1
45,1,12,19,37,9.5,1.343,2.172,0
23,1,3,0,19,8.4,0.279,1.317,1
34,4,6,3,27,35.3,1.982,7.549,1
31,1,2,4,22,12.7,1.092,1.702,1
28,1,5,9,22,2.8,0.14,0.476,0
41,1,7,11,43,4.4,0.694,1.198,0
39,2,7,2,68,13,1.017,7.823,1
29,2,9,3,36,1.4,0.127,0.377,0
21,1,5,1,25,9,0.367,1.883,0
41,2,19,2,68,5.8,1.507,2.437,0
26,4,1,7,27,2.9,0.312,0.471,0
33,1,5,10,18,12.9,0.985,1.337,0
45,2,18,19,35,17.4,0.548,5.542,0
39,1,17,20,60,13.7,2.45,5.77,0
24,1,7,2,21,6.3,0.52,0.803,0
29,2,6,7,57,2.2,0.453,0.801,0
27,2,1,0,23,12.4,0.285,2.567,0
40,1,13,2,28,5.9,0.965,0.687,0
29,1,8,10,24,6.7,0.47,1.138,0
29,2,4,3,37,6.6,1.16,1.282,1
24,1,0,2,16,16,1.009,1.551,1
27,1,9,6,45,17.8,2.852,5.158,1
41,3,16,22,135,4.4,1.277,4.663,0
31,1,11,8,25,9.1,0.141,2.134,0
41,1,16,17,68,5.4,0.448,3.224,0
42,2,5,3,41,3.4,0.355,1.039,0
28,4,1,3,26,12.4,0.377,2.847,0
30,4,2,8,25,10,1.77,0.73,0
30,1,11,1,33,8.4,0.682,2.09,0
31,1,8,4,44,8,1.721,1.799,0
45,2,15,14,51,18.1,1.551,7.68,0
43,1,13,23,76,6.1,2.151,2.485,1
36,1,4,10,23,16.3,1.327,2.422,0
28,1,8,6,30,7.2,0.613,1.547,0
27,2,3,5,33,13.2,1.633,2.723,0
36,3,13,3,39,19.2,2.801,4.687,0
33,1,12,11,32,11.3,2.105,1.511,0
54,1,9,2,28,14.8,1.558,2.586,1
33,1,9,4,29,13.8,1.349,2.653,1
31,1,9,5,26,4.5,0.31,0.86,0
21,1,4,0,26,8.9,1.421,0.893,0
28,3,5,9,44,8.7,0.773,3.055,0
31,2,2,1,26,6.8,0.283,1.485,1
32,1,8,6,26,4.1,0.326,0.74,0
35,2,1,8,24,12.5,0.591,2.409,1
40,2,13,11,102,18.9,6.227,13.051,1
22,1,4,2,24,15.6,1.636,2.108,1
39,1,4,9,38,6.5,1.178,1.292,0
41,4,14,3,44,1.7,0.353,0.395,0
34,1,16,9,79,4,1.735,1.425,0
29,1,7,9,22,9.7,0.551,1.583,0
31,1,4,10,28,11.3,0.291,2.873,0
32,1,1,0,20,4.8,0.315,0.645,1
32,1,14,7,73,8.8,3.752,2.672,0
33,1,6,14,21,7.5,0.567,1.008,0
26,1,6,0,22,10.3,0.721,1.545,0
21,1,1,1,18,17.3,0.159,2.955,0
28,2,7,2,34,7,0.359,2.021,0
37,1,13,5,24,8.9,0.602,1.534,0
33,2,2,14,35,22.9,2.124,5.891,1
39,1,12,10,46,5,0.561,1.739,0
40,2,8,19,57,5.6,0.878,2.314,0
45,3,16,21,80,3,0.912,1.488,0
27,1,10,6,34,6.5,0.851,1.359,0
28,4,0,7,29,24.2,1.425,5.593,0
39,1,13,9,27,8,0.966,1.194,0
40,1,14,21,43,15,2.793,3.657,1
27,1,11,8,56,16.9,4.637,4.827,0
36,1,1,4,16,9.3,0.433,1.055,0
55,1,19,2,78,15.6,4.405,7.763,0
27,2,4,3,22,13.2,1.086,1.818,1
30,1,1,8,17,11,0.746,1.124,0
36,1,10,0,28,11.2,0.815,2.321,1
31,1,1,6,21,2.5,0.277,0.248,1
33,2,13,2,40,7.2,0.181,2.699,0
30,1,4,0,33,4.2,0.5,0.886,0
24,1,1,0,18,5.9,0.239,0.823,1
33,4,9,10,28,4.3,0.377,0.827,0
50,1,8,27,47,6.9,0.399,2.844,0
31,2,6,6,32,23.1,3.341,4.051,1
28,1,3,7,19,4.1,0.261,0.518,0
44,3,8,10,88,6.1,0.285,5.083,1
48,4,3,23,45,9.8,0.975,3.435,0
36,2,0,17,30,9.7,0.329,2.581,0
29,3,7,1,63,5.5,0.572,2.893,0
40,3,17,11,116,6,2.561,4.399,0
33,1,7,6,26,6,0.543,1.017,0
26,2,6,6,30,1,0.144,0.156,0
36,1,14,11,81,7.2,1.785,4.047,0
26,2,6,0,35,1.9,0.086,0.579,0
40,3,16,6,116,12.1,1.614,12.422,0
44,1,5,3,48,9,1.97,2.35,1
29,3,1,10,30,4.5,0.279,1.071,0
35,3,5,3,37,5.4,0.581,1.417,1
34,1,16,3,75,10.4,3.955,3.845,0
34,3,12,8,47,6.7,1.301,1.848,0
46,1,14,25,35,10.2,1.349,2.221,0
41,2,21,22,145,12.2,3.237,14.453,0
27,2,7,8,30,4,0.448,0.752,1
27,4,0,6,70,8,1.618,3.982,1
28,1,11,6,24,2.4,0.107,0.469,0
48,3,0,27,19,10.8,0.85,1.202,0
48,3,17,26,113,12,3.376,10.184,0
29,3,5,6,70,19.9,3.176,10.754,1
43,2,9,5,60,20.4,4.039,8.201,1
